id,REFLEC1,REFLEC2,REFLEC3,REFLEC4,REFLEC5,REFLEC6,REFLEC7,PCA1,PCA2,PCA3,NDVI1,NDVI2,NDVI3,NDVI4,ELEV1,PEND1,ILUM1,TOPOIND1,ROUGH1,TRI1,COFS1,TMPMAN1,TMPMAX1,TMPMIN1,TVARDAY1,PRECIPAN1,PRECIPWET1,PRECIPDRY1,PRECIPVAR1,MARTONNE1,LAT2,LON1,DOSEL1,VVR1,VHR1,VHVVR1,VVD1,VHD1,VHVVD1,MNDWI1,NDTI1,Target
id_0taivml7ol,231.0,251.0,496.0,464.0,2557.0,2035.0,1051.0,15578.91895,672.5833740234375,565.5050659179688,0.5623680949211121,0.6814534664154053,0.763305128,0.067587316,2014.0,28.84403610229492,199.0,1.875,42.0,12.375,33.0,15.675409317016602,25.32059669494629,4.350704193115234,13.87681007385254,1623.614990234375,390.8043518066406,2.9999516010284424,116.94400787353516,63.23808288574219,20.28492546081543,-104.8695068,17.0,0.17400351,0.03881565,0.22294582,0.14565785,0.03646856,0.25019965,-0.60806,0.31885937,80
id_croxu0xdq9,345.0,402.0,805.0,805.0,2997.0,2443.0,1434.0,16403.79688,900.6830444335938,516.0835571289062,0.2537203133106231,0.546518862,0.8690480589866638,0.2536070048809051,656.0,16.630325317382812,185.0,-2.0,24.0,7.75,19.0,23.94440460205078,35.66902542114258,10.929707527160645,16.047563552856445,949.8643188476562,257.7124938964844,2.0,117.12442779541016,27.983301162719727,20.937753677368164,-104.5510941,6.0,0.23905022,0.055794597,0.23330355,0.13023232,0.035913985,0.275557,-0.5043103,0.26025277,39
id_qfv0klgl9b,413.0,518.0,775.0,1022.0,2936.0,3266.0,2351.0,17203.26953,1275.0565185546875,-325.2760925,0.2510433495044708,0.4796694219112396,0.9088172316551208,0.2355848997831344,1543.0,3.8210511207580566,181.0,0.375,4.0,1.875,22.0,17.999048233032227,31.231258392333984,3.986085176467896,17.208784103393555,1030.634766,238.2039031982422,5.000000476837158,104.9412841796875,36.809791564941406,20.28526496887207,-104.5093765,0.0,0.11419323,0.028075602,0.24564536,0.041094657,0.007986,0.19386008,-0.61643153,0.16289835,26
id_mlubcnl27r,196.0,295.0,806.0,675.0,2964.0,2249.0,1260.0,16105.81738,900.0106201171875,637.2929077148438,0.1782949864864349,0.5394493937492371,0.8605226278305054,0.2576324939727783,82.0,1.3123266696929932,183.0,0.625,1.0,0.625,21.0,25.38126945495605,33.80210876464844,14.417582511901855,12.934463500976562,1475.6990966796875,367.8427734,2.0,121.76715087890624,41.708473205566406,20.930612564086918,-105.0374146,0.0,0.17753047,0.057263207,0.32237265,0.069335915,0.008117819,0.11691095,-0.4723404,0.28184667,96
id_rej7e1nz2p,366.0,404.0,697.0,803.0,2479.0,2722.0,1794.0,16414.72266,822.1544799804688,-137.5916748,0.3027601540088653,0.4904858469963074,0.7289872765541077,0.148521289,1906.0,5.921675682067871,193.0,-1.875,5.0,1.875,33.0,16.31156349182129,28.353050231933597,3.717712879180908,15.805075645446776,1248.4083251953125,289.7024841308594,4.976197719573975,107.16118621826172,47.44818878173828,20.15331268310547,-104.5040512,0.0,0.15345328,0.035333253,0.2301042,0.10426386,0.022264518,0.21333551,-0.5922784,0.20549159,98
id_bx03klk5gz,119.0,131.0,384.0,279.0,2622.0,1505.0,666.0,15049.37109,563.9412841796875,998.8258056640624,0.595511794,0.7845486998558044,0.91451233625412,0.1103264912962913,599.0,26.519872665405277,84.0,-0.75,37.0,11.125,24.0,22.997787475585938,32.154300689697266,10.89669132232666,14.454720497131348,1196.260009765625,303.3702392578125,1.9974462985992432,119.97740173339844,36.25238037109375,21.172801971435547,-104.9868774,13.0,0.19071881,0.04774938,0.25023413,0.17230678,0.052799143,0.3062475,-0.59343565,0.38645783,22
id_7l4d4uem9h,166.0,191.0,436.0,298.0,3070.0,1589.0,673.0,15331.83203,783.4727783203125,1293.3858642578125,0.7614057660102844,0.8166571855545044,0.8610512018203735,0.032328147,855.0,29.18605613708496,160.0,0.125,36.0,12.0,34.0,21.94844055175781,31.539445877075195,9.694213867,14.895713806152344,1537.483398,388.8061218261719,2.937016248703003,120.53919982910156,48.12392425537109,20.224096298217773,-105.2795181,24.0,0.22343525,0.052747004,0.23596726,0.19509682,0.05413025,0.27731112,-0.56938267,0.40495136,25
id_y7t8ll361i,229.0,308.0,606.0,543.0,2281.0,1842.0,1068.0,15483.84961,368.9450988769531,434.8040161132813,0.3327323496341705,0.5831372737884521,0.7925368547439575,0.166678175330162,1360.0,9.938241004943848,200.0,-2.875,12.0,3.5,26.0,18.848234176635746,32.37877274,4.340509414672852,17.764759063720703,1034.4500732421875,248.32579040527344,5.984549045562744,105.7860870361328,35.85848617553711,20.379440307617188,-104.5122833,7.0,0.17153539,0.04746376,0.2765383,0.14549033,0.042485144,0.29181296,-0.50490195,0.26597938,23
id_cu1w9bnzdj,331.0,369.0,671.0,747.0,2511.0,1988.0,1385.0,15915.86914,480.3677368164063,367.6595458984375,0.387981653,0.5464968085289001,0.7137781381607056,0.1004476174712181,293.0,15.820693016052246,131.0,3.25,17.0,4.875,32.0,24.59206962585449,32.87250518798828,13.132715225219728,13.443748474121094,1445.049560546875,366.8410949707031,2.0,123.00585174560548,41.77360153198242,21.08625602722168,-105.1479721,3.0,0.5126839,0.047702055,0.09302564,0.29564723,0.046976317,0.15883942,-0.49529895,0.1787726,101
id_lcu63s7wp4,133.0,140.0,370.0,300.0,2431.0,1457.0,641.0,14953.50586,425.0267639160156,895.4653930664062,0.7440000176429749,0.7806515693664551,0.8366012573242188,0.084305234,1235.0,28.20343589782715,123.0,-1.5,40.0,12.625,31.0,19.24776077270508,29.018739700317383,7.180852890014648,14.730173110961914,1499.239990234375,360.7045593261719,2.9809160232543945,119.25234985351562,51.26129531860352,20.36635971069336,-105.1912155,21.0,0.13269219,0.039473664,0.2972589,0.12324786,0.039287094,0.31850648,-0.5949644,0.38894182,26
