id,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Target_25,Target_26,Target_27,Target_28,Target_29,Target_30,Target_31,Target_32,Target_33,Target_34,Target_35,Target_36,Target_37,Target_38,Target_39,Target_40,Target_41,Target_42,Target_43,Target_44,Target_45,Target_46,Target_47,Target_48,Target_49,Target_50,Target_51,Target_52,Target_53,Target_54,Target_55,Target_56,Target_57,Target_58,Target_59,Target_60,Target_61,Target_62,Target_63,Target_64,Target_65,Target_66,Target_67,Target_68,Target_69,Target_70,Target_71,Target_72,Target_73,Target_74,Target_75,Target_76,Target_77,Target_78,Target_79,Target_80,Target_81,Target_82,Target_83,Target_84,Target_85,Target_86,Target_87,Target_88,Target_89,Target_90,Target_91,Target_92,Target_93,Target_94,Target_95,Target_96,Target_97,Target_98,Target_99,Target_100,Target_101,Target_102,Target_103,Target_104,Target_105,Target_106,Target_107,Target_108,Target_109,Target_110,Target_111,Target_112,Target_113,Target_114,Target_115,Target_116,Target_117,Target_118,Target_119,Target_120,Target_121,Target_122,Target_123,Target_124
id_utdshhcma9,0.001,0.012165651085545738,0.0002901224498407232,0.006153386540413547,0.015188980255566113,0.005789382902706452,0.001,0.001,0.001,0.001,0.001,0.023706987279509806,0.001,0.001,0.001,0.001,0.016543241514574123,0.0004068247161365406,0.001,0.011398956834705327,0.008869245771873804,0.0016778286394670862,0.006139679445521936,0.0308944263656993,0.0025779873291292134,0.03934922104842667,0.013397677219380396,0.0021157373842604493,0.00836931923961801,0.006879560280017898,0.00017233429313483922,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008453564333248646,0.001,0.009106888246002805,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.026124016808940394,0.001,0.033432704334752913,0.001,0.001,0.001,0.001,0.024132516423821748,0.0216768847693848,0.001,0.001,0.001,0.017161127059206003,0.019389469447269873,0.0022248389569251435,0.001,0.001,0.001,0.001,0.001,0.001,0.00014896990296501734,0.001,0.001,0.001,0.001,0.001,0.03072996615114718,0.03855439899582453,0.015254747887431185,0.0087884431136823,0.05939530993884924,0.004781813945530643,0.36594728201023224,0.03632954521694971,0.019545551834555034,0.001,0.001,0.001,0.012998477033238141,0.001,0.001,0.001,0.0039740155377896965,0.001,0.02887466378825887,0.001,0.00034123267824171915,0.001,0.001,0.001,8.50535516360548e-05,0.001,0.001,0.001,0.001,0.0004619674385880677,0.001
id_wpr03x91k8,0.001,0.012306927097511907,0.0003992189912362014,0.00941682193594505,0.006087576975484986,0.007516848818891472,0.001,0.001,0.001,0.001,0.001,0.02425082637797188,0.001,0.001,0.001,0.001,0.0378859173552895,0.0005789178467905768,0.001,0.08341009024528423,0.01110322368853001,0.0006663837109777341,0.029510579467878377,0.013605472744120075,0.005125010568708937,0.05765210261344067,0.023198642033784113,0.001907943941560616,0.012064819747258619,0.011895121247174923,0.0002727135615064264,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.02093339928470381,0.001,0.01837364292698252,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0073189244210076845,0.001,0.023117448267143206,0.001,0.001,0.001,0.001,0.011790338635158389,0.010274986245038783,0.001,0.001,0.001,0.04568728586328713,0.024221020398136266,0.004953180416658085,0.001,0.001,0.001,0.001,0.001,0.001,0.00038240092674902065,0.001,0.001,0.001,0.001,0.001,0.15601784421325587,0.09088205727825599,0.008645386114217382,0.01904019390943868,0.020122677018241292,0.0015842441121223213,0.06726516088174941,0.04381169752811581,0.01456113440317762,0.001,0.001,0.001,0.002330272306149904,0.001,0.001,0.001,0.002856054498955636,0.001,0.05335828592421381,0.001,0.0014105360301826448,0.001,0.001,0.001,0.0002494924810696581,0.001,0.001,0.001,0.001,0.001957176946643047,0.001
id_ihn04pau10,0.001,0.014643599561994451,0.0011312218975167393,0.004801051506768471,0.003661019555992568,0.0013529264269086004,0.001,0.001,0.001,0.001,0.001,0.017717729589577465,0.001,0.001,0.001,0.001,0.026322194335779328,0.004365964081986192,0.001,0.05031563891773868,0.04633070384727763,0.0006041241270725862,0.10937061891929262,0.018785826738843967,0.004687086308604501,0.09722904787790643,0.06703885397841776,0.006207036552139553,0.022305844232885723,0.08982376466058947,0.0009771618404661364,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01932708153957484,0.001,0.004468359837617999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0019838335372973762,0.001,0.04108320382231065,0.001,0.001,0.001,0.001,0.009940740786472547,0.00020951236719724242,0.001,0.001,0.001,0.05279364982316892,0.03121085941602226,0.00933276626192026,0.001,0.001,0.001,0.001,0.001,0.001,0.004344151435901747,0.001,0.001,0.001,0.001,0.001,0.03482401291945929,0.024311551244204227,0.00048744584953893695,0.023419474659060396,0.02605459146621498,0.000787894577565375,0.0064590003303088015,0.08481007600611526,0.008999382878314002,0.001,0.001,0.001,0.0002799822765971819,0.001,0.001,0.001,0.005630234496607184,0.001,0.017156031221265567,0.001,0.0003783051296465905,0.001,0.001,0.001,0.0010116177267163553,0.001,0.001,0.001,0.001,0.003024825433143106,0.001
id_dujctwctkv,0.001,0.0633153983474689,0.0007222539200880049,0.011958662391055117,0.06060664162099004,0.007364591444507976,0.001,0.001,0.001,0.001,0.001,0.04752596712679456,0.001,0.001,0.001,0.001,0.018533490735230963,0.00044781360248885365,0.001,0.012625456556189681,0.020099419115542853,0.0009599262990814335,0.010231693964454842,0.025628298316314555,0.004083178726481091,0.021004878741851273,0.04217031075103496,0.0024442028154777343,0.006287923467044228,0.011756878339728974,0.0004700410806534807,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.024980347510384398,0.001,0.007662557658327203,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.019760588592102495,0.001,0.05252148550844328,0.001,0.001,0.001,0.001,0.01915603797969647,0.020297208536828034,0.001,0.001,0.001,0.02171902664932361,0.018794336489240813,0.005457073715709771,0.001,0.001,0.001,0.001,0.001,0.001,0.0003026148387904028,0.001,0.001,0.001,0.001,0.001,0.033226250412020514,0.06824210119757512,0.032364870863397795,0.00975347057809441,0.04178839854232773,0.009404661072429758,0.1387902055633909,0.03101260609672525,0.011909880470576548,0.001,0.001,0.001,0.02604813898493383,0.001,0.001,0.001,0.0032473038844907055,0.001,0.030022965271530914,0.001,0.00391729144979921,0.001,0.001,0.001,0.00023815373203342908,0.001,0.001,0.001,0.001,0.0011453970393477978,0.001
id_fjf3v7c0h6,0.001,0.08116819884230304,0.0023974894133297862,0.014552803118632274,0.007795003147463262,0.00049340917833857,0.001,0.001,0.001,0.001,0.001,0.029621685904102718,0.001,0.001,0.001,0.001,0.006452499613526122,0.0017878053490518477,0.001,0.03651736526153585,0.005841511132512203,0.0012950078012053518,0.031025399062672092,0.05942727734279618,0.008233865434992438,0.05322189249596983,0.06487704557964721,0.005179165458590892,0.008188647740296992,0.024595084124594557,0.000459104651058382,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.022053124819692793,0.001,0.0030126044933389386,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008703524139065989,0.001,0.08202335997034643,0.001,0.001,0.001,0.001,0.0330276954842937,0.0002469584607140615,0.001,0.001,0.001,0.038243447232936344,0.061651967744659794,0.007458223114462365,0.001,0.001,0.001,0.001,0.001,0.001,0.0004553540055199037,0.001,0.001,0.001,0.001,0.001,0.024002481245180864,0.07000118798099352,0.002696488178326148,0.014568183509885271,0.01991197938753623,0.0009682772088822217,0.025645192965385255,0.08814973738614823,0.03487362664424364,0.001,0.001,0.001,0.0015225343754508036,0.001,0.001,0.001,0.004150278562260289,0.001,0.012675936042708296,0.001,0.0004465846541077598,0.001,0.001,0.001,8.857104512123222e-05,0.001,0.001,0.001,0.001,0.0002924206961201878,0.001
id_n6dd5u60ar,0.001,0.09157613731336356,0.0015864587683843499,0.008140570345321377,0.0013565623604331481,0.002979812689562604,0.001,0.001,0.001,0.001,0.001,0.08482238793022022,0.001,0.001,0.001,0.001,0.00266965077823469,9.999585944313936e-05,0.001,0.019894450053318132,0.002697013770063025,0.0012945568186171655,0.06468534351802002,0.017986112828802206,0.0009500202688925983,0.04208351479120078,0.10212937329629102,0.04655841481034409,0.028015349710509386,0.015180199588730379,0.0006385251025172545,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.07528019583948926,0.001,0.0022076546304170283,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0035416018711355492,0.001,0.07147605173610916,0.001,0.001,0.001,0.001,0.004849826184072834,0.0005777867994856775,0.001,0.001,0.001,0.06930679234566034,0.04365165540129236,0.008256621691959537,0.001,0.001,0.001,0.001,0.001,0.001,0.0014984979907188601,0.001,0.001,0.001,0.001,0.001,0.0404702116012736,0.02083663246171858,0.001242619363291262,0.008366168779515565,0.0237772263125042,0.0019442380561288182,0.017220072078973643,0.028230174064532425,0.02728062457969555,0.001,0.001,0.001,0.00034439275317196827,0.001,0.001,0.001,0.0029428493205252847,0.001,0.007448513221435084,0.001,0.0004743925900506314,0.001,0.001,0.001,0.001727788345332366,0.001,0.001,0.001,0.001,0.0017029613792414354,0.001
id_tyfn07id6o,0.001,0.015285105515608834,0.0005823379246264202,0.023398952570141716,0.007220137363118994,0.0013048241814800708,0.001,0.001,0.001,0.001,0.001,0.01498286462715039,0.001,0.001,0.001,0.001,0.01985797253633989,0.005631946932344461,0.001,0.05609944016401194,0.0812128500209138,0.0005537359467354024,0.04897949720277439,0.05170963626113706,0.012309466592795002,0.04638453254502489,0.05395604698788746,0.007551050592113742,0.03346934209361937,0.04404888040583774,0.0009033343397390636,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.022380829746233167,0.001,0.003779901758333248,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004487706736153874,0.001,0.03797048616655654,0.001,0.001,0.001,0.001,0.0111471298598828,0.0003494329929949691,0.001,0.001,0.001,0.06606260818447895,0.031403689226902204,0.01785415963415594,0.001,0.001,0.001,0.001,0.001,0.001,0.0018020529971210094,0.001,0.001,0.001,0.001,0.001,0.020199731512183784,0.022661915935722334,0.0006977666013277407,0.04007183133379155,0.08419192232551093,0.0006230068917363473,0.009211946254747992,0.03895081075660367,0.016997193974424334,0.001,0.001,0.001,0.00074176096598136,0.001,0.001,0.001,0.016868197596725164,0.001,0.024256378648709317,0.001,0.00036750587616560986,0.001,0.001,0.001,0.00021171197872744743,0.001,0.001,0.001,0.001,0.0012683672414288423,0.001
id_u4h43sf8l1,0.001,0.0034880430833932577,0.0007586642440429184,0.0010857656950989266,0.0013650511421463567,0.030898327949116334,0.001,0.001,0.001,0.001,0.001,0.010757677475786735,0.001,0.001,0.001,0.001,0.05354566690770342,0.00017796332786480172,0.001,0.04989203861427235,0.07590336947878816,0.00052636587448391,0.06487075961629343,0.052771663918756186,0.0008500069251658538,0.07885113015313647,0.04341313382001447,0.0021098620269006337,0.02056142793721383,0.03199231668314326,0.00021474886174853577,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003076294047007231,0.001,0.011230551917948108,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002024741232851632,0.001,0.030920882199815418,0.001,0.001,0.001,0.001,0.01710941832745919,0.0009154608477725265,0.001,0.001,0.001,0.013069274940293503,0.013508318652424002,0.009966272411126855,0.001,0.001,0.001,0.001,0.001,0.001,0.0007149631365805385,0.001,0.001,0.001,0.001,0.001,0.08903970735681405,0.1017636948994829,0.00388776868386577,0.04654689022883031,0.07245934622428421,0.009158213962097215,0.00880619709842573,0.017380446430290415,0.003966089468730704,0.001,0.001,0.001,0.002090876424355169,0.001,0.001,0.001,0.0005347439150913656,0.001,0.012570091118250214,0.001,0.0027592342210545355,0.001,0.001,0.001,0.0003774345588679571,0.001,0.001,0.001,0.001,0.0020891039612104924,0.001
id_wkyn481pm3,0.001,0.04907511820782539,0.0021652485098510614,0.014157081411457217,0.020996515869482243,0.00019023494042455974,0.001,0.001,0.001,0.001,0.001,0.008474678530423014,0.001,0.001,0.001,0.001,0.003598428883797664,0.00040510229888679857,0.001,0.04378931006954351,0.002506507970403549,0.001248605847489141,0.009272328026963357,0.018538231593439376,0.005328619593738495,0.034590675377412,0.04401898500213728,0.007322512146379129,0.008890216093921141,0.01539617015489533,0.00027173788449573574,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.016677872229959992,0.001,0.0024502367029664183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.031309058502526466,0.001,0.2698590752270108,0.001,0.001,0.001,0.001,0.03279690195561404,8.609067241636106e-05,0.001,0.001,0.001,0.011847812952214357,0.052420780525627236,0.007670918819673786,0.001,0.001,0.001,0.001,0.001,0.001,0.00023490699740078198,0.001,0.001,0.001,0.001,0.001,0.021860381400443104,0.06985890295015737,0.0010445796500914862,0.03212505823857123,0.018203602659784185,0.0007099806841165239,0.025821710750038928,0.048174846191008654,0.04956860038260967,0.001,0.001,0.001,0.0009340375482927217,0.001,0.001,0.001,0.0033025622977049312,0.001,0.012342867744420883,0.001,0.0001398096570402056,0.001,0.001,0.001,0.00016525720595461527,0.001,0.001,0.001,0.001,0.00015783964138936223,0.001
id_p6ifoj81n0,0.001,0.014797624244976245,0.0019345698496761985,0.002383713740675005,0.007823112210622311,0.006193894699610054,0.001,0.001,0.001,0.001,0.001,0.023319023870937747,0.001,0.001,0.001,0.001,0.0038751285564528897,0.000237665323798519,0.001,0.04538898696395046,0.011346314072408416,0.0015064096616864632,0.018828797005560116,0.01109487238301394,0.001067269621814578,0.11211713359620279,0.08921899543469355,0.03001389420380659,0.028023252583412483,0.019852961041777924,0.0010513081698092267,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.014243978203017652,0.001,0.0034992112582385333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.027633290255078567,0.001,0.07275888397803999,0.001,0.001,0.001,0.001,0.01264437113130858,0.0003322672792102376,0.001,0.001,0.001,0.03482797351682239,0.06194496671640139,0.019821145415685325,0.001,0.001,0.001,0.001,0.001,0.001,0.002547515965394628,0.001,0.001,0.001,0.001,0.001,0.03634529824636047,0.033386076651727055,0.0008429268749466158,0.1108773569608354,0.04332490045357126,0.013620711144229358,0.015271733282227772,0.009892198001968123,0.022226129841189487,0.001,0.001,0.001,0.0013958718998815368,0.001,0.001,0.001,0.001286507594552903,0.001,0.006349001064462942,0.001,0.0014522880468586317,0.001,0.001,0.001,0.022719921684241383,0.001,0.001,0.001,0.001,0.0006805472988642746,0.001
